utterance_id	asr_transcript
kansas09a-VNT03-put	
kansas09a-VNT04-send	
kansas09a-VNT05-drive	P AA S AH N
kansas09a-VNT06-wash	
kansas09a-VNT07-read	
kansas09a-VNT08-laugh	R
kansas09a-VNT09-watch	
kansas09a-VNT10-give	
kansas09a-VNT11-swim	
kansas09a-VNT12-stir	
kansas09a-VNT13-pinch	T
kansas09a-VNT14-crawl	B
kansas09a-VNT15-deliver	
kansas09a-VNT16-pour	
kansas09a-VNT17-howl	
kansas09a-VNT18-throw	
kansas09a-VNT19-bite	P IH S  T
kansas09a-VNT20-shove	T
kansas09a-VNT21-tickle	T  T  T
kansas09a-VNT22-shave	
kansas11a-BNT02-comb	T  R UW M
kansas11a-BNT03-toothbrush	P  S
kansas11a-BNT04-octopus	T
kansas11a-BNT05-bench	CH
kansas11a-BNT07-canoe	K AH N UW
kansas11a-BNT08-beaver	B IY V ER
kansas11a-BNT09-cactus	
kansas11a-BNT11-stethoscope	S  T EH P AH K AH L
kansas11a-BNT12-unicorn	B AA K  T  R IH
kansas11a-BNT13-tripod	T  R AW
kansas11a-BNT14-sphinx	S  P  R IH N CH
kansas11a-BNT15-palette	B  R AH G IH
kansas11a-VNT01-cut	P OW
kansas11a-VNT03-put	AW
kansas11a-VNT04-send	P AA K AH N T
kansas11a-VNT05-drive	F AW OW N T
kansas11a-VNT06-wash	HH IY P  R AH P  R EH Z IH N  T
kansas11a-VNT07-read	HH
kansas11a-VNT09-watch	AH W AA T  Z AH
kansas11a-VNT10-give	
kansas11a-VNT11-swim	S  W IH M IH NG
kansas11a-VNT12-stir	
kansas11a-VNT13-pinch	
kansas11a-VNT14-crawl	T
kansas11a-VNT15-deliver	T  R AY
kansas11a-VNT16-pour	HH AW S
kansas11a-VNT17-howl	
kansas11a-VNT18-throw	
kansas11a-VNT19-bite	T  K  W T
kansas11a-VNT20-shove	SH EH DX IH NG
kansas11a-VNT21-tickle	T UH K AH M NG
kansas11a-VNT22-shave	F AA ER
kansas13a-BNT01-house	HH AW S
kansas13a-BNT02-comb	K OW M
kansas13a-BNT03-toothbrush	S  T K  NG
kansas13a-BNT04-octopus	AA T  S AH P AA
kansas13a-BNT05-bench	M EH CH
kansas13a-BNT06-volcano	AA K  S AH N N
kansas13a-BNT07-canoe	K AH N UW
kansas13a-BNT08-beaver	F  AE M HH AW
kansas13a-BNT09-cactus	B AA T AH
kansas13a-BNT11-stethoscope	T EH L AH S  T OW P
kansas13a-BNT15-palette	HH AW
kansas13a-VNT01-cut	T
kansas13a-VNT02-bark	B AA R  K  B AA R  K IH NG
kansas13a-VNT03-put	
kansas13a-VNT04-send	T  AE T
kansas13a-VNT05-drive	HH IY Z  D  R AY V IH NG
kansas13a-VNT06-wash	R AH
kansas13a-VNT07-read	S
kansas13a-VNT08-laugh	
kansas13a-VNT09-watch	
kansas13a-VNT10-give	B AA HH AA <UNK>
kansas13a-VNT11-swim	AA AH K AO R
kansas13a-VNT12-stir	
kansas13a-VNT13-pinch	K AH T IH NG
kansas13a-VNT14-crawl	S  T  W IH T
kansas13a-VNT15-deliver	
kansas13a-VNT16-pour	T  T T
kansas13a-VNT17-howl	T
kansas13a-VNT18-throw	T
kansas13a-VNT19-bite	
kansas13a-VNT20-shove	K  T AH
kansas13a-VNT21-tickle	T IH K AH L IH M
kansas13a-VNT22-shave	T
kansas15a-BNT01-house	HH AW S
kansas15a-BNT02-comb	K OW M
kansas15a-BNT03-toothbrush	T UW TH B  R AH SH
kansas15a-BNT04-octopus	AA CH AH P AA K  S
kansas15a-BNT05-bench	B IH JH
kansas15a-BNT06-volcano	V  AE L  K  AE N OW
kansas15a-BNT07-canoe	K AH N UW
kansas15a-BNT08-beaver	R AH B UH
kansas15a-BNT09-cactus	T  AE K  S IH Z
kansas15a-BNT10-hammock	AH HH  AE M AH K
kansas15a-BNT11-stethoscope	S EH F AH K OW P
kansas15a-BNT12-unicorn	L  AE F IH NG
kansas15a-BNT13-tripod	IY Z AH L
kansas15a-BNT14-sphinx	S  P IH N CH
kansas15a-BNT15-palette	P  AE L AH T
kansas15a-VNT01-cut	N AH
kansas15a-VNT02-bark	K T
kansas15a-VNT03-put	T
kansas15a-VNT04-send	T T
kansas15a-VNT05-drive	T
kansas15a-VNT06-wash	K K T
kansas15a-VNT07-read	T
kansas15a-VNT08-laugh	K  T T
kansas15a-VNT09-watch	T
kansas15a-VNT10-give	K T  T
kansas15a-VNT11-swim	
kansas15a-VNT12-stir	
kansas15a-VNT13-pinch	
kansas15a-VNT14-crawl	
kansas15a-VNT15-deliver	
kansas15a-VNT16-pour	
kansas15a-VNT17-howl	T
kansas15a-VNT18-throw	
kansas15a-VNT19-bite	T T T T
kansas15a-VNT20-shove	
kansas15a-VNT21-tickle	
kansas15a-VNT22-shave	
kansas16a-BNT01-house	S AA R  F AH S  T AO P
kansas16a-BNT02-comb	R AH SH
kansas16a-BNT03-toothbrush	K OW M
kansas16a-BNT10-hammock	P AA L AH T
kansas16a-VNT01-cut	CH
kansas16a-VNT02-bark	
kansas16a-VNT03-put	
kansas16a-VNT04-send	
kansas16a-VNT05-drive	
kansas16a-VNT06-wash	
kansas16a-VNT07-read	
kansas16a-VNT09-watch	
kansas16a-VNT10-give	
kansas16a-VNT11-swim	
kansas16a-VNT12-stir	
kansas16a-VNT13-pinch	K T
kansas16a-VNT14-crawl	
kansas16a-VNT15-deliver	
kansas16a-VNT16-pour	
kansas16a-VNT17-howl	T
kansas16a-VNT18-throw	
kansas16a-VNT19-bite	
kansas16a-VNT20-shove	T
kansas16a-VNT21-tickle	
kansas16a-VNT22-shave	
kansas17a-BNT01-house	AH HH AW S
kansas17a-BNT02-comb	G  R AY N
kansas17a-BNT03-toothbrush	T UW TH B R AH SH
kansas17a-BNT04-octopus	AA K  T AH P UH S
kansas17a-BNT05-bench	B EH N  T  S
kansas17a-BNT06-volcano	V AY K EY N OW
kansas17a-BNT07-canoe	K AH N UW
kansas17a-BNT10-hammock	K IH L  V  AE T
kansas17a-BNT11-stethoscope	T EH S AH S  K OW P
kansas17a-BNT14-sphinx	L AY K AH N <UNK>
kansas17a-BNT15-palette	P EY N  B AH SH EY N  T
kansas17a-VNT01-cut	AH AH M  T AA T
kansas17a-VNT02-bark	DH AH D AA G IH Z  B AY DX IH NG
kansas17a-VNT03-put	
kansas17a-VNT04-send	HH IY Z  K  AA R L IH N
kansas17a-VNT05-drive	
kansas17a-VNT06-wash	
kansas17a-VNT07-read	AH M
kansas17a-VNT08-laugh	
kansas17a-VNT09-watch	
kansas17a-VNT10-give	K  AE K  T AH
kansas17a-VNT11-swim	
kansas17a-VNT12-stir	AE T
kansas17a-VNT13-pinch	
kansas17a-VNT14-crawl	T
kansas17a-VNT15-deliver	T
kansas17a-VNT16-pour	
kansas17a-VNT17-howl	T  T
kansas17a-VNT18-throw	T T
kansas17a-VNT19-bite	
kansas17a-VNT20-shove	HH IY K AH S  T IH D AW N
kansas17a-VNT21-tickle	T T
kansas17a-VNT22-shave	HH S OW L  V IH NG
kansas23a-BNT01-house	DH  AE T  S AH HH AW
kansas23a-BNT07-canoe	B EY R IH N IH T
kansas23a-BNT08-beaver	S  AA
kansas23a-BNT12-unicorn	DH  AE T  S AH HH AO R  S
kansas23a-BNT14-sphinx	P AA L AH T
kansas23a-VNT01-cut	AH T  R AY
kansas23a-VNT02-bark	F IY D IH N DH AH D AA G
kansas23a-VNT03-put	
kansas23a-VNT04-send	T T K
kansas23a-VNT05-drive	T  P IH T
kansas23a-VNT06-wash	AE T  CH M
kansas23a-VNT07-read	
kansas23a-VNT08-laugh	HH IY JH AH S  T  L  AE F IH N
kansas23a-VNT09-watch	
kansas23a-VNT10-give	
kansas23a-VNT11-swim	T AH
kansas23a-VNT12-stir	T T T
kansas23a-VNT13-pinch	T T
kansas23a-VNT14-crawl	
kansas23a-VNT15-deliver	T P
kansas23a-VNT16-pour	
kansas23a-VNT17-howl	
kansas23a-VNT18-throw	
kansas23a-VNT19-bite	T T
kansas23a-VNT20-shove	CH T T
kansas23a-VNT21-tickle	T  T
kansas23a-VNT22-shave	T  T
kempler02a-BNT01-house	EY HH AW S
kempler02a-BNT02-comb	K OW M
kempler02a-BNT03-toothbrush	B  R AH
kempler02a-BNT04-octopus	T UW  L AH
kempler02a-BNT05-bench	CH EY R
kempler02a-BNT06-volcano	CH AO R  M
kempler02a-BNT07-canoe	B UW T
kempler02a-BNT08-beaver	S AH P M IH
kempler02a-BNT09-cactus	T IH K AH L L IH NG
kempler02a-BNT10-hammock	HH  AE M AH K
kempler02a-BNT12-unicorn	HH AW S
kempler02a-BNT13-tripod	S EH AW
kempler02a-BNT14-sphinx	F OW N T S
kempler02a-BNT15-palette	P OW L  TH IH NG
kempler02a-VNT01-cut	T
kempler02a-VNT02-bark	
kempler02a-VNT03-put	
kempler02a-VNT04-send	
kempler02a-VNT05-drive	AY P N
kempler02a-VNT06-wash	AH
kempler02a-VNT07-read	T
kempler02a-VNT08-laugh	S OW F  R AY AH NG
kempler02a-VNT09-watch	
kempler02a-VNT10-give	T T T
kempler02a-VNT11-swim	P AH S  N P
kempler02a-VNT12-stir	T  T
kempler02a-VNT13-pinch	T
kempler02a-VNT14-crawl	AE K  N OW P
kempler02a-VNT15-deliver	
kempler02a-VNT16-pour	T
kempler02a-VNT17-howl	T T  T
kempler02a-VNT18-throw	
kempler02a-VNT19-bite	
kempler02a-VNT20-shove	T
kempler02a-VNT21-tickle	S AH AA  L
kempler02a-VNT22-shave	OW K
kempler03a-BNT01-house	HH AW S
kempler03a-BNT02-comb	HH OW M
kempler03a-BNT03-toothbrush	T UW TH B  R AH SH
kempler03a-BNT04-octopus	AA K  T AH P UH S
kempler03a-BNT05-bench	P IH N CH
kempler03a-BNT06-volcano	V AA L  K EY N OW
kempler03a-BNT07-canoe	K AH N UW
kempler03a-BNT08-beaver	B IY V ER
kempler03a-BNT09-cactus	K  AE K AH S
kempler03a-BNT10-hammock	HH  AE M AH K
kempler03a-BNT11-stethoscope	T EH L EH S  T AA P
kempler03a-BNT13-tripod	S  P IH L T  S
kempler03a-BNT14-sphinx	P IH N CH
kempler03a-BNT15-palette	CH EH L L AH S  T
kempler03a-VNT01-cut	T AH
kempler03a-VNT02-bark	B AY T
kempler03a-VNT03-put	
kempler03a-VNT04-send	
kempler03a-VNT05-drive	
kempler03a-VNT06-wash	
kempler03a-VNT07-read	T
kempler03a-VNT08-laugh	AH
kempler03a-VNT09-watch	
kempler03a-VNT10-give	
kempler03a-VNT11-swim	W AA S  W IH M IH NG
kempler03a-VNT12-stir	S  T ER IH NG
kempler03a-VNT13-pinch	P IH N CH IH N
kempler03a-VNT14-crawl	T  R AO L IH N
kempler03a-VNT15-deliver	T
kempler03a-VNT16-pour	
kempler03a-VNT17-howl	T
kempler03a-VNT18-throw	K AH CH IH NG
kempler03a-VNT19-bite	B AY T IH NG
kempler03a-VNT20-shove	
kempler03a-VNT21-tickle	OW T
kempler03a-VNT22-shave	
kempler04a-BNT01-house	HH AW S
kempler04a-BNT02-comb	K OW
kempler04a-BNT03-toothbrush	AE T  AH P AH
kempler04a-BNT05-bench	S  EH G OW P
kempler04a-BNT08-beaver	P AO R
kempler04a-BNT14-sphinx	AH
kempler04a-VNT01-cut	K AH DX IH NG
kempler04a-VNT02-bark	R AY DX IH NG
kempler04a-VNT03-put	
kempler04a-VNT04-send	
kempler04a-VNT05-drive	
kempler04a-VNT06-wash	
kempler04a-VNT07-read	
kempler04a-VNT08-laugh	AA AH P AH
kempler04a-VNT09-watch	
kempler04a-VNT10-give	
kempler04a-VNT11-swim	
kempler04a-VNT12-stir	
kempler04a-VNT13-pinch	
kempler04a-VNT14-crawl	
kempler04a-VNT15-deliver	
kempler04a-VNT16-pour	
kempler04a-VNT18-throw	
kempler04a-VNT19-bite	
kempler04a-VNT20-shove	S AH M IH NG S  T AH
kempler04a-VNT21-tickle	
kempler04a-VNT22-shave	
scale04a-BNT01-house	HH AW S
scale04a-BNT02-comb	K OW M
scale04a-BNT03-toothbrush	K OW M AH
scale04a-BNT04-octopus	K AA R M AA
scale04a-BNT05-bench	AW T  S
scale04a-BNT06-volcano	HH AO R  T
scale04a-BNT07-canoe	T AA K  T AA P
scale04a-BNT08-beaver	OW B AA
scale04a-BNT09-cactus	HH AW L
scale04a-BNT10-hammock	HH AW L AH N  T
scale04a-BNT12-unicorn	K AH L AA K AH
scale04a-BNT13-tripod	T K AA L AA T
scale04a-BNT14-sphinx	B IY
scale04a-VNT01-cut	K AH T
scale04a-VNT02-bark	AH
scale04a-VNT03-put	AE T
scale04a-VNT04-send	M AA R  K S IH NG
scale04a-VNT05-drive	D  R AY V IH N
scale04a-VNT06-wash	W AA SH IH NG
scale04a-VNT07-read	AA R  T K
scale04a-VNT08-laugh	L  AE F IH N
scale04a-VNT09-watch	
scale04a-VNT10-give	
scale04a-VNT11-swim	
scale04a-VNT12-stir	T AH
scale04a-VNT13-pinch	AH
scale04a-VNT14-crawl	T
scale04a-VNT15-deliver	AH
scale04a-VNT16-pour	T
scale04a-VNT17-howl	T
scale04a-VNT18-throw	
scale04a-VNT19-bite	B  AE T AH N
scale04a-VNT20-shove	P UH S IH N
scale04a-VNT21-tickle	T  P UH P  T AA
scale04a-VNT22-shave	
scale06a-BNT01-house	AH HH AW S
scale06a-BNT02-comb	K UW M
scale06a-BNT03-toothbrush	B  R AH SH
scale06a-BNT04-octopus	AA K  T AH P UH S
scale06a-BNT05-bench	B EH N CH
scale06a-BNT06-volcano	V AA L  K EY N OW
scale06a-BNT07-canoe	V OW K AH M
scale06a-BNT08-beaver	B  AE JH ER
scale06a-BNT09-cactus	K  AE K  T AH S
scale06a-BNT10-hammock	G  R AA  AE K UH
scale06a-BNT11-stethoscope	T EH L AH S  K OW P
scale06a-BNT12-unicorn	Y UW N IH K AO R  N
scale06a-BNT13-tripod	T  R AY P AA D
scale06a-BNT14-sphinx	F IH NG K  S
scale06a-BNT15-palette	P EY N  T
scale06a-VNT01-cut	K AH T IH NG
scale06a-VNT02-bark	K W AO R
scale06a-VNT03-put	W IH F D
scale06a-VNT04-send	
scale06a-VNT05-drive	D  R AY V IH NG
scale06a-VNT06-wash	S AH D  S
scale06a-VNT07-read	TH K IH N
scale06a-VNT08-laugh	AH
scale06a-VNT09-watch	W AA SH IH NG SH V IY Z
scale06a-VNT10-give	G IH V IH NG
scale06a-VNT11-swim	S  W IH M IH NG
scale06a-VNT12-stir	P IH CH ER
scale06a-VNT13-pinch	AH
scale06a-VNT14-crawl	
scale06a-VNT15-deliver	T
scale06a-VNT16-pour	P IH CH ER
scale06a-VNT17-howl	P AH M
scale06a-VNT18-throw	D UW IH NG
scale06a-VNT19-bite	HH AW
scale06a-VNT20-shove	
scale06a-VNT21-tickle	T IH K AH L IH NG
scale06a-VNT22-shave	SH EY V IH NG
scale08a-BNT01-house	AH R HH AW S
scale08a-BNT02-comb	K OW M
scale08a-BNT03-toothbrush	T UW TH B  R AH SH
scale08a-BNT04-octopus	AA K  T AH P UH S
scale08a-BNT05-bench	B EH N CH
scale08a-BNT06-volcano	V AA L  K EY N OW
scale08a-BNT07-canoe	K AH M  N UW
scale08a-BNT09-cactus	K  AE K  T AH S
scale08a-BNT11-stethoscope	S  T EH TH AH S  K OW P
scale08a-BNT12-unicorn	Y UW N IH K AO R  N
scale08a-BNT13-tripod	T  R AY P AA D
scale08a-BNT14-sphinx	S  F IH NG K  S
scale08a-BNT15-palette	P  AE L AH T
scale08a-VNT01-cut	OW T AH P T AA S
scale08a-VNT02-bark	HH IY Z  B AA R  K IH NG
scale08a-VNT03-put	HH OW  P L T  AA K  S AH Z
scale08a-VNT04-send	HH IY Z  M EY L IH NG IH T
scale08a-VNT05-drive	S M IH N AA N T  W AA N
scale08a-VNT06-wash	OW P AH R IH N
scale08a-VNT07-read	AA AH AH S  P OW
scale08a-VNT08-laugh	HH IY Z  L  AE F IH NG
scale08a-VNT09-watch	OW K AH N  AA
scale08a-VNT10-give	T
scale08a-VNT11-swim	
scale08a-VNT12-stir	
scale08a-VNT13-pinch	SH IY Z  P IH N CH IH NG HH IH M
scale08a-VNT14-crawl	HH OW S  T  R AY K R AY
scale08a-VNT15-deliver	HH IY Z  D AH  L IH V ER IH N IH
scale08a-VNT16-pour	AW S
scale08a-VNT17-howl	HH IY Z HH AW L IH NG K
scale08a-VNT18-throw	S AH S AA R  AA
scale08a-VNT19-bite	
scale08a-VNT21-tickle	SH AH L T AY M  Z
scale08a-VNT22-shave	P OW S  T SH IH M  T
scale13a-BNT01-house	HH AW S
scale13a-BNT02-comb	P  EH N
scale13a-BNT04-octopus	G  L EY  B  AE N  Z
scale13a-BNT07-canoe	K AH N UW
scale13a-BNT09-cactus	AE K  T AH P UH S
scale13a-BNT12-unicorn	HH AO R  N
scale13a-BNT14-sphinx	R IY D IH NG S
scale13a-VNT01-cut	OW S  F AA K AH IH NG
scale13a-VNT03-put	
scale13a-VNT04-send	
scale13a-VNT05-drive	HH AW  T
scale13a-VNT06-wash	AH AW
scale13a-VNT07-read	SH IH G IH NG
scale13a-VNT08-laugh	D AH L  AE F IH NG
scale13a-VNT09-watch	HH AW
scale13a-VNT10-give	
scale13a-VNT11-swim	AH S  W IH M IH NG
scale13a-VNT12-stir	T AW
scale13a-VNT13-pinch	
scale13a-VNT14-crawl	
scale13a-VNT15-deliver	
scale13a-VNT17-howl	T
scale13a-VNT18-throw	
scale13a-VNT19-bite	
scale13a-VNT20-shove	S IH NG
scale13a-VNT21-tickle	Y IY L  AE P AH L
scale13a-VNT22-shave	
scale20a-BNT02-comb	K OW M
scale20a-BNT03-toothbrush	AA K HH AW S
scale20a-BNT04-octopus	AA K  T AH P UH S
scale20a-BNT05-bench	B AH NG K  S
scale20a-BNT06-volcano	B AA R  K IH NG N OW
scale20a-BNT07-canoe	B OW T
scale20a-BNT08-beaver	W  AE K  S UW N
scale20a-BNT09-cactus	K AH T
scale20a-BNT10-hammock	S  W IH NG
scale20a-BNT15-palette	P AH L EH T
scale20a-VNT01-cut	K  AE CH IH N
scale20a-VNT02-bark	B AA R  K IH NG
scale20a-VNT03-put	AA N N  AE T
scale20a-VNT04-send	M AW
scale20a-VNT05-drive	D  R AY V IH NG
scale20a-VNT06-wash	
scale20a-VNT07-read	R IY D IH NG
scale20a-VNT08-laugh	L AA F IH N
scale20a-VNT09-watch	R  AE K  R AH D  S
scale20a-VNT10-give	OW L EH F  IH NG
scale20a-VNT11-swim	S  W IH M IH NG
scale20a-VNT12-stir	
scale20a-VNT13-pinch	
scale20a-VNT14-crawl	K  R AA L IH NG
scale20a-VNT15-deliver	S  P  R AY T
scale20a-VNT16-pour	P AO R IH NG
scale20a-VNT17-howl	B AY K IH NG
scale20a-VNT18-throw	T
scale20a-VNT19-bite	W AA T IH NG
scale20a-VNT20-shove	P UH SH IH NG
scale20a-VNT21-tickle	T P AY M
scale20a-VNT22-shave	T  CH
scale23a-BNT02-comb	K OW M
scale23a-BNT03-toothbrush	T AH UH L  P AA S
scale23a-BNT06-volcano	V AA L UW
scale23a-BNT07-canoe	K EY N UW
scale23a-BNT08-beaver	P IH N Z
scale23a-BNT09-cactus	K  AE K  T IH N
scale23a-BNT10-hammock	K  AE N AA K
scale23a-BNT15-palette	P EY N  T
scale23a-VNT01-cut	T AH
scale23a-VNT02-bark	B AA R  K IH NG
scale23a-VNT03-put	K AH T
scale23a-VNT04-send	T CH
scale23a-VNT05-drive	AH T AY K AH L IH NG
scale23a-VNT06-wash	OW W AA SH IH NG
scale23a-VNT07-read	HH AW S IH
scale23a-VNT08-laugh	DH EY R  L  AE F IH NG
scale23a-VNT10-give	AA K  T AA
scale23a-VNT12-stir	SH AH V IH NG
scale23a-VNT13-pinch	AA OW K OW M
scale23a-VNT14-crawl	
scale23a-VNT15-deliver	P  R AA V AH L IH NG
scale23a-VNT16-pour	
scale23a-VNT17-howl	AA S  T OW
scale23a-VNT18-throw	P AA NG AH
scale23a-VNT19-bite	
scale23a-VNT20-shove	K T
scale23a-VNT21-tickle	T
scale23a-VNT22-shave	B  R AH SH IH N  T IY
scale24a-BNT03-toothbrush	B  AE S  K IH T  B AA L
scale24a-BNT05-bench	B  AE S  K IH T  B AA L
scale24a-BNT06-volcano	V ER CH ER V EY D ER
scale24a-BNT07-canoe	AO R
scale24a-BNT08-beaver	G L  AE B IH N
scale24a-BNT09-cactus	B  AE S  K AH T  B AA L  N OW
scale24a-BNT11-stethoscope	S EH M ER K AY AA M N
scale24a-BNT12-unicorn	B AA R  S IH NG
scale24a-BNT13-tripod	S  AE N AH T AY M
scale24a-BNT15-palette	M  AE JH IH K AH L
scale24a-VNT01-cut	AH B AA R  T  B AH  B AA R  K
scale24a-VNT02-bark	T AH N
scale24a-VNT03-put	P AO R N AH  N AA <UNK>
scale24a-VNT04-send	T AH
scale24a-VNT05-drive	AH T
scale24a-VNT06-wash	AW F AA L B AA T
scale24a-VNT07-read	K T T
scale24a-VNT08-laugh	DH  AE NG S  AY T  S  AH
scale24a-VNT09-watch	K  AE K  T AH K
scale24a-VNT10-give	AH M IY N T
scale24a-VNT11-swim	AY S  AE TH IH NG
scale24a-VNT12-stir	P AA R AH
scale24a-VNT13-pinch	OW
scale24a-VNT14-crawl	OW AA K  AE AY
scale24a-VNT15-deliver	AW T
scale24a-VNT16-pour	AH T AH P P D T
scale24a-VNT18-throw	
scale24a-VNT19-bite	
scale24a-VNT20-shove	T
scale24a-VNT21-tickle	T  T AH
scale24a-VNT22-shave	
scale30a-BNT01-house	P  R AH D
scale30a-BNT02-comb	AH K OW M
scale30a-BNT04-octopus	AA K  T AH P UH S
scale30a-BNT05-bench	P AO R
scale30a-BNT06-volcano	AW CH IH NG AH  L AA AH AO
scale30a-BNT07-canoe	AO R  B ER
scale30a-BNT08-beaver	T IH K AH L
scale30a-BNT13-tripod	K OW V
scale30a-BNT15-palette	IY Z AH L
scale30a-VNT01-cut	T UW TH D ER ER
scale30a-VNT03-put	
scale30a-VNT04-send	
scale30a-VNT05-drive	
scale30a-VNT06-wash	B AH B AH L  Z
scale30a-VNT07-read	R IY V ER
scale30a-VNT08-laugh	D EY R  L  AE F IH N
scale30a-VNT09-watch	
scale30a-VNT10-give	T
scale30a-VNT11-swim	
scale30a-VNT12-stir	
scale30a-VNT13-pinch	AA M  P UH S
scale30a-VNT14-crawl	HH AW
scale30a-VNT15-deliver	T T
scale30a-VNT16-pour	G  R AA SH AH L IH V ER
scale30a-VNT17-howl	HH AW L IH NG
scale30a-VNT18-throw	
scale30a-VNT19-bite	HH AW S
scale30a-VNT21-tickle	S  M EY L IH NG
scale30a-VNT22-shave	
scale33a-BNT01-house	K OW S
scale33a-BNT02-comb	K OW M
scale33a-BNT03-toothbrush	T UW TH B  R AH SH
scale33a-BNT04-octopus	
scale33a-BNT05-bench	B EH N CH
scale33a-BNT06-volcano	IH NG AA P K
scale33a-BNT07-canoe	P UH T N IH N
scale33a-BNT08-beaver	AA  P AA S AH N
scale33a-BNT09-cactus	K  AE K  T AH K  S
scale33a-BNT10-hammock	HH  AE M AH K
scale33a-BNT12-unicorn	N AH K AO R  D
scale33a-BNT13-tripod	T
scale33a-BNT14-sphinx	F IH NG K  S
scale33a-BNT15-palette	IY Z AH L
scale33a-VNT01-cut	T  T
scale33a-VNT02-bark	B AA R  K IH NG
scale33a-VNT03-put	P  AE K IH JH
scale33a-VNT04-send	
scale33a-VNT05-drive	T AA  T AH
scale33a-VNT06-wash	W AA SH IH NG
scale33a-VNT07-read	
scale33a-VNT08-laugh	P AA K P IY
scale33a-VNT09-watch	M AA K IH NG AH HH AA
scale33a-VNT10-give	G IH V  M IY AH
scale33a-VNT11-swim	S  W IH M IH NG
scale33a-VNT12-stir	M AA HH OW AA
scale33a-VNT13-pinch	P IH N CH
scale33a-VNT14-crawl	K  R AA L IH NG
scale33a-VNT15-deliver	K K CH
scale33a-VNT17-howl	P AA K AH T AH T
scale33a-VNT18-throw	
scale33a-VNT19-bite	
scale33a-VNT20-shove	P UH SH IH NG
scale33a-VNT21-tickle	L  AE F IH NG
scale33a-VNT22-shave	SH EY V IH NG
scale38a-BNT01-house	HH AW S
scale38a-BNT02-comb	K OW M
scale38a-BNT03-toothbrush	T UW TH B  R AH SH
scale38a-BNT13-tripod	S  K OW P
scale38a-VNT02-bark	HH AW L
scale38a-VNT03-put	T T  T  T
scale38a-VNT04-send	M EY L IH NG
scale38a-VNT05-drive	T
scale38a-VNT06-wash	
scale38a-VNT07-read	OW SH EY
scale38a-VNT08-laugh	IH T  AH HH AW
scale38a-VNT09-watch	DH AH K AA R  T
scale38a-VNT10-give	T T
scale38a-VNT11-swim	HH AY T  Z AH L S AY T
scale38a-VNT12-stir	T T
scale38a-VNT13-pinch	
scale38a-VNT14-crawl	T
scale38a-VNT15-deliver	S
scale38a-VNT16-pour	AH HH AH  AE L
scale38a-VNT17-howl	AY M IY N
scale38a-VNT18-throw	K  AE CH AH N
scale38a-VNT20-shove	T
scale38a-VNT21-tickle	OW K EY T IH K AH L
scale38a-VNT22-shave	T
tap04a-BNT01-house	HH AW S
tap04a-BNT02-comb	K AO M
tap04a-BNT03-toothbrush	T UW TH B  R AH SH
tap04a-BNT04-octopus	AA K  T AH P UH S
tap04a-BNT05-bench	B EH N CH
tap04a-BNT06-volcano	V AA L  K EY N OW
tap04a-BNT07-canoe	P  R OW Z IH NG
tap04a-BNT08-beaver	P AA S IH M
tap04a-BNT09-cactus	K  AE K  T AH S
tap04a-BNT10-hammock	HH  AE M AH K
tap04a-BNT11-stethoscope	S  T AA S  K AH
tap04a-BNT12-unicorn	Y UW N IH K R AO R  N
tap04a-BNT13-tripod	T  R AY P AA D
tap04a-BNT14-sphinx	DH AH S  P AA M  T  S
tap04a-BNT15-palette	HH ER R OW IH IH T
tap04a-VNT01-cut	T OW AH M
tap04a-VNT02-bark	B AA K IH NG
tap04a-VNT03-put	
tap04a-VNT04-send	M EY L IH N EY L EH DX ER
tap04a-VNT05-drive	IH T S  T AA M  AH
tap04a-VNT06-wash	HH IY  R AA S IH NG
tap04a-VNT07-read	HH IY Z  R IY L IH NG
tap04a-VNT09-watch	
tap04a-VNT10-give	
tap04a-VNT11-swim	S  W IH M IH NG
tap04a-VNT12-stir	N AA AH S  P AA R K
tap04a-VNT13-pinch	SH IY Z  P IH N CH IH NG N HH IH M
tap04a-VNT14-crawl	K  R AO L IH NG
tap04a-VNT15-deliver	AH S  T AH  N AA AA AH M
tap04a-VNT16-pour	K  R IH NG N AH
tap04a-VNT17-howl	HH IH Z HH AA R IH NG N AA AY M
tap04a-VNT18-throw	V EY L
tap04a-VNT19-bite	DH IH S  AH  S IH NG
tap04a-VNT20-shove	AH P  R EH S IH N  HH AA
tap04a-VNT21-tickle	HH IY Z  L  AE F IH NG
tap04a-VNT22-shave	SH EY V IH NG
tap06a-BNT03-toothbrush	K OW M
tap06a-VNT01-cut	HH AW R S
tap06a-VNT02-bark	
tap06a-VNT03-put	HH IY R  D IH S
tap06a-VNT04-send	AA K P AW
tap06a-VNT05-drive	AH
tap06a-VNT06-wash	HH IH UH S
tap06a-VNT07-read	AW M
tap06a-VNT08-laugh	AW
tap06a-VNT09-watch	IH T  S AH S  T P HH AW L
tap06a-VNT10-give	T AH M
tap06a-VNT11-swim	HH AA K  T AH S
tap06a-VNT12-stir	HH AA R  S
tap06a-VNT13-pinch	
tap06a-VNT14-crawl	V AA
tap06a-VNT15-deliver	T AH T IH NG
tap06a-VNT16-pour	K AH P IH NG IH T  D AA F
tap06a-VNT18-throw	L AY AH N
tap06a-VNT19-bite	AA K AH HH AW S
tap06a-VNT20-shove	K OW M
tap06a-VNT22-shave	Y  AE DH AH N
tap07a-BNT01-house	HH AA R  M IH
